STT,Từ vựng,Phiên âm,tiếng Việt
1,爱,ài,"yêu, thích"
2,爱好,àihào,sở thích
3,八,bā,số 8
4,爸爸｜爸,bàba｜bà,"bố, ba, cha"
5,吧,ba,"nào, nhé, chứ, đi (trợ từ)"
6,白,bái,trắng
7,白天,báitiān,ban ngày
8,百,bǎi,một trăm
9,班,bān,lớp
10,半,bàn,một nửa
11,半年,bàn nián,nửa năm
12,半天,bàn tiān,nửa ngày
13,帮,bāng,giúp đỡ
14,帮忙,bāng//máng,giúp đỡ
15,包,bāo,"bao, cái túi; gói, bọc"
16,包子,bāozi,bánh bao
17,杯,bēi,"cốc, ly"
18,杯子,bēizi,"cốc, chén, ly"
19,北,běi,bắc
20,北边,běibiān,phía Bắc
21,北京,Běijīng,Bắc Kinh
22,本,běn,"cuốn, quyển, tập"
23,本子,běn zi,"vở, cuốn vở"
24,比,bǐ,"so, so với"
25,别,bié,"đừng, không được"
26,别的,biéde,cái khác
27,别人,bié·rén,"người khác, người ta"
28,病,bìng,bệnh
29,病人,bìngrén,bệnh nhân
30,不大,bú dà,"nhỏ, không lớn"
31,不对,búduì,không đúng
32,不客气,bú kèqi,không có gì
33,不用,búyòng,không cần
34,不,bù,không
35,菜,cài,"đồ ăn, món ăn"
36,差,chà,"thiếu, kém"
37,茶,chá,trà
38,常,cháng,thường
39,常常,chángcháng,thường thường
40,唱,chàng,hát
41,唱歌,chànggē,"hát, ca hát"
42,车,chē,xe
43,车票,chēpiào,vé xe
44,车上,chē shang,trên xe
45,车站,chēzhàn,bến xe
46,吃,chī,ăn
47,吃饭,chī//fàn,ăn cơm
48,出,chū,"ra, xuất"
49,出来,chūlái,"xuất hiện, đi ra"
50,出去,chūqù,"ra, ra ngoài"
51,穿,chuān,mặc
52,床,chuáng,"giường, đệm"
53,次,cì,lần
54,从,cóng,"từ, qua, theo"
55,错,cuò,sai
56,打,dǎ,"đánh, bắt"
57,打车,dǎchē,bắt xe
58,打电话,dǎ diànhuà,gọi điện
59,打开,dǎkāi,"mở, mở ra"
60,打球,dǎ qiú,chơi bóng
61,大,dà,"to, lớn"
62,大学,dàxué,đại học
63,大学生,dàxuéshēng,sinh viên đại học
64,到,dào,"đến, tới"
65,得到,dédào,"đạt được, nhận được"
66,地,de,biểu thị từ trước nó là trạng ngữ
67,的,de,(biểu thị sự sở hữu) của
68,等,děng,"đợi, chờ"
69,地,dì,"đất, lục địa; trái đất"
70,地点,dìdiǎn,"địa điểm, nơi chốn"
71,地方,dìfang,"nơi, địa phương"
72,地上,dìshang,trên mặt đất
73,地图,dìtú,bản đồ
74,弟弟| 弟,dìdi|dì,em trai
75,第（第二）,dì（dì-èr）,thứ … (số thứ tự)
76,点,diǎn,"ít, chút, hơi"
77,电,diàn,"điện, pin."
78,电话,diànhuà,điện thoại
79,电脑,diànnǎo,máy tính
80,电视,diànshì,truyền hình; TV
81,电视机,diànshìjī,(chiếc) TV
82,电影,diànyǐng,"điện ảnh, phim (nói chung)"
83,电影院,diànyǐngyuàn,rạp chiếu phim
84,东,dōng,đông
85,东边,dōngbian,phía đông
86,东西,dōngxi,"đồ đạc, đồ, vật"
87,动,dòng,"động, chạm"
88,动作,dòngzuò,"động tác, hoạt động"
89,都,dōu,đều
90,读,dú,đọc
91,读书,dú//shū,đọc sách
92,对,duì,đúng
93,对不起,duìbuqǐ,xin lỗi
94,多,duō,Nhiều (đại từ nghi vấn) bao nhiêu
95,多少,duōshǎo,bao nhiêu
96,饿,è,đói
97,儿子,érzi,con trai
98,二,èr,số 2
99,饭,fàn,cơm
100,饭店,fàndiàn,quán ăn/ nhà hàng
101,房间,fángjiān,căn phòng
102,房子,fángzi,căn nhà/ căn hộ
103,放,fàng,"thả, đặt, để"
104,放假,fàng//jià,"nghỉ, nghỉ định kỳ"
105,放学,fàng//xué,tan học
106,飞,fēi,bay
107,飞机,fēijī,máy bay
108,非常,fēicháng,"vô cùng, hết sức, rất"
109,分,fēn,phút
110,风,fēng,gió
111,干,gān,khô
112,干净,gānjìng,sạch sẽ
113,干,gàn,làm
114,干什么,gànshénme,làm gì đó
115,高,gāo,cao
116,高兴,gāoxìng,"vui vẻ, vui mừng"
117,告诉,gàosù,"nói, kể lại"
118,哥哥｜哥,gēge｜gē,anh trai
119,歌,gē,bài hát
120,个,gè,cái
121,给,gěi,cho
122,跟,gēn,"và, cùng"
123,工人,gōngrén,"công nhân, người lao động nói chung"
124,工作,gōngzuò,công việc
125,关（动）,guān,đóng
126,关上,guānshàng,khép vào
127,贵,guì,đắt
128,国,guó,"đất nước, nước nhà, Tổ quốc"
129,国家,guójiā,"đất nước, Quốc Gia"
130,国外,guó wài,nước ngoài
131,过,guò,"(đi) qua, (bước) qua"
132,还,hái,"vẫn, còn"
133,还是,háishi,hay là
134,还有,hái yǒu,"còn có, còn nữa là"
135,孩子,háizi,"đứa trẻ, con (tôi)"
136,汉语,Hànyǔ,(ngôn ngữ) tiếng Trung
137,汉字,Hànzì,chữ Hán
138,好,hǎo,"tốt, đẹp"
139,好吃,hǎochī,ngon
140,好看,hǎokàn,"đẹp, xinh, hay"
141,好听,hǎotīng,"êm tai, du dương, dễ nghe"
142,好玩儿,hǎowánr,(chơi) vui
143,号,hào,ngày
144,喝,hē,uống
145,和,hé,và
146,很,hěn,rất
147,后,hòu,sau
