Tiếng Trung,Phiên âm,Từ loại,Tiếng Việt,Ví dụ,Phiên âm,Dịch
吧,ba,Từ cảm thán,Thôi,好吧！,Hǎo ba!,Được thôi!
白,bái,Tính từ,Màu trắng,我喜欢白色。,Wǒ xǐhuān báisè.,Tôi thích màu trắng.
白,bái,Tính từ,Họ: Bạch,,,
百,bǎi,Danh từ,Trăm,这个产品的价格是一百块钱。,Zhège chǎnpǐn de jiàgé shì yībǎi kuài qián.,Giá của sản phẩm này là 100 đồng.
帮助,bāngzhù,Động từ,Giúp đỡ,我可以帮助你吗？,Wǒ kěyǐ bāngzhù nǐ ma?,Tôi có thể giúp gì được cho bạn ?
报纸,bàozhǐ,Danh từ,Báo giấy,与电子报相比，我更喜欢报纸。,"Yǔ diànzǐ bào xiāng bǐ, wǒ gèng xǐhuān kàn bàozhǐ.","So với báo mạng, tôi thích đọc báo giấy hơn."
比,bǐ,Danh từ,"So, so với",我比他高。,Wǒ bǐ tā gāo.,Tôi cao hơn anh ta.
比,bǐ,Giới từ,,,,
比,bǐ,Động từ,,,,
别,bié,Động từ,Khác,我可以看别的颜色吗？,Wǒ kěyǐ kàn bié de yánsè ma?,Có thể cho tôi xem màu sắc khác được không?
长,cháng,Tính từ,Dài,十年的时间并不算怎么长。,Shí nián de shíjiān bìng bú suàn zěnme cháng.,Thời gian 10 năm kể cũng không phải là dài.
唱歌,chànggē,Động từ,Hát,他唱歌唱得好听。,Tā chànggē chàng dé hǎotīng.,Anh ấy hát rất hay.
出,chū,Động từ,Ra,这个世纪出了许多大事情。,Zhège shìjì chūle xǔduō dà shì qíng.,Thế kỷ này xảy ra rất nhiều sự việc đáng chú ý.
  穿,chuān,Động từ,Mặc,你试试穿这条裙子吧。,Nǐ shì shì chuān zhè tiáo qúnzi ba.,Bạn mặc thử chiếc váy này đi.
船,chuán,Danh từ,Thuyền,顺水推船,Shùnshuǐ tuī chuán.,"Thuận nước đẩy thuyền, biết thời biết thế"
次,cì,Tính từ,Lần,三番五次,Sānfān wǔcì.,5 lần 7 lượt
,,Lượng từ,,,,
从,cóng,Động từ,Từ,从善而流,cóngshànérliú,"Biết nghe lời phải, biết phục thiện"
,,Giới từ,,,,
错,cuò,Danh từ,Sai,阴差阳错,yīnchā yángcuò,Sai sót ngẫu nhiên
,,Động từ,,,,
打篮球,dǎ lánqiú,Động từ,Đánh bóng rổ,我的爱好是打篮球。,Wǒ de àihào shì dǎ lánqiú.,Sở thích của mình là chơi bóng rổ.
大家,dàjiā,Danh từ,Mọi người,大家喜欢春节去旅游。,Dàjiā xǐhuān chūnjié qù lǚyóu.,Mọi người đều thích đi du lịch vào mùa xuân.
,,Đại từ,,,,
但是,dànshì,Liên từ,Nhưng mà,但是病情让国家损失了一大笔钱。,Dànshì bìngqíng ràng guójiā sǔnshīle yí dà bǐ qián.,Nhưng bệnh tình khiến quốc gia tổn thất một khoản tiền lớn.
到,dào,Động từ,Đến,马到成功,Mǎdàochénggōng,Mã đáo thành công
得,dé,Trợ động từ,,我得不到他的爱。,Wǒ dé bú dào tā de ài,Tôi không có được tình yêu của cô ý.
等,děng,Động từ,Đợi,三六九等,sānliùjiǔ děng,"Nhiều loại, đủ loại"
弟弟,dìdì,Đại từ,Em trai,小弟弟可乖啊。,xiǎo dìdì kě guāi a.,Em trai thật ngoan quá đi.
第一,dì yī,Số từ,Thứ nhất,这次考试，他考了第一名。,"Zhè cì kǎoshì, tā kǎole dì yī míng.",Lần thi này tôi đứng thứ nhất.
,,,Lần đầu,,,
懂,dǒng,Động từ,Hiểu,不懂装懂,Bù dǒng zhuāng dǒng,Không hiểu vờ như hiểu
对,duì,Giới từ,Đúng,对牛弹琴,duìniútánqín,Đàn gảy tai trâu
,,Động từ,,,,
,,Danh từ,,,,
房间,fángjiān,Danh từ,Căn phòng,你进入房间吧。,Nǐ jìnrù fángjiān ba.,Bạn vào phòng đi.
非常,fēicháng,Phó từ chỉ mức độ,Cực kì,非常完美,Fēicháng wánměi,Phi thường hoàn mỹ
服务员,fúwùyuán,Danh từ,Nhân Viên phục vụ,服务员向我们说明了产品的用途。,Fúwùyuán xiàng wǒmen shuōmíngle chǎnpǐn de yòngtú.,Phục vụ hướng dẫn chúng tôi cách sử dụng sản phẩm.
高,gāo,Tính từ,Cao,步步登高,Bù bù dēnggāo,Ngày càng thăng tiến
告诉,gàosù,Động từ,Nói cho biết,老师告诉我们留学生所学校的规定。,Lǎoshī  gàosù wǒmen liúxuéshēng suǒ xuéxiào de guīdìng.,Thầy giáo nói với lưu học sinh về quy định của nhà trường.
,,,Báo cho,,,
哥哥,gēgē,Đại từ,Anh trai,每个月我都跟留学的哥哥互通音信。,Měi gè yuè wǒ dōu gēn liúxué de gēgē hùtōng yīnxìn,Mỗi tháng tôi đều cùng anh trai đang đi du học trao đổi thư từ.
给,gěi,Động từ,Đưa cho ….,我寄给他一封信。,Wǒ jì gěi tā yì fēng xìn.,Tôi gửi cho anh ta 1 phong thư.
,jǐ,,,自给自足,zìjǐzìzú,Tự cung tự cấp
公共汽车,gōnggòng qìchē,Danh từ,"Xe buýt, bus",这辆公共汽车出了故障，不能开动了。,"Zhè liàng gōnggòng qìchē chūle gùzhàng, bùnéng kāidòngle.",Chiếc xe buýt này gặp sự cố không thể khởi động được.
公斤,gōngjīn,,Kg,我买了五公斤的苹果。,Wǒ mǎile wǔ gōngjīn de píngguǒ.,Tôi mua 5 kg táo.
=,=,,,,,
千克,qiānkè,,,,,
公司,gōngsī,Danh từ,Công ty,这个公司又开发了一种新产品。,Zhège gōngsī yòu kāifāle yì zhǒng xīn chǎnpǐn.,Công ty này vừa mở ra 1 dòng sản phẩm mới.
贵,guì,Tính từ,Đắt,荣华富贵,Rónghuá fùguì,Vinh hoa phú quý Mẹ quý nhờ con
,,,,母以子贵,Mǔyǐzǐguì,
过,guò,Động từ,Qua,过眼云烟,guòyǎnyúnyān,Thoáng qua như phù du
,,Trạng từ,,,,
还,hái,Động từ,Với,这个还是那个?,Zhège háishì nàgè?,Cái này hay cái kia.
,huán,Trạng từ,Trả về ….,衣锦还乡,Yījǐnhuánxiāng Fǎnlǎohuántóng,Áo gấm về quê
,,,,返老还童,,Cải lão hoàn đồng
孩子,Háizi,Đại từ,Trẻ con,对待两个儿子，父母不能厚此薄彼。,"Duìdài liǎng gè érzi, fùmǔ bùnéng hòucǐbóbǐ.","Đối xử với 2 người con, cha mẹ không nên bên trọng  bên khinh."
好吃,hào chī,Tính  từ,Sành ăn; ham ăn,好吃懒做的货。,Hàochīlǎnzuò de huò.,Cái loại ham ăn lười làm.
,hǎochī,,Ngon,这东西真好吃。,Zhè dōngxi zhēn hǎochī.,món này ngon thật.
号,hào,Danh từ,Số,五号,wǔ hào,Số 5.
,,,Hiệu,国号,guó hào,quốc hiệu
黑,hēi,Tính từ,Màu đen,起早摸黑,qǐ zǎomōhēi,Dậy sớm ngủ muộn; thức khuya dậy sớm
红,hóng,Tính từ,Màu đỏ,红男绿女,hóngnánlǜnǚ,Trai thanh gái lịch
,,,,大红大紫,dàhóng dàzǐ,Đỏ tía
欢迎,huānyíng,Động từ,Chào đón,欢迎光临,Huānyíng guānglín.,Hoan nghênh ghé thăm.
回答,huídá,Động từ,Trả lời,老师要求学生回答老师的问题。,Lǎoshī yàoqiú xuéshēng huídá lǎoshī de wèntí.,Thầy giáo yêu cầu học sinh trả lời câu hỏi của thầy.
机场,jīchǎng,Danh từ,Sân bay,哥哥要出国留学，我们到机场去送别。,"Gēgē yào chūguó liúxué, wǒmen dào jīchǎng qù sòngbié.","Anh trai đi nước ngoài du học, mọi người đến sân bay tiễn."
鸡蛋,jīdàn,Danh từ,Quả trứng,拿鸡蛋跟石头碰，真是不自量力！,"Ná jīdàn gēn shítou pèng, zhēnshì bú zì liànglì!","Lấy trứng chọi với đá, thật không biết tự lượng sức mình."
件,jiàn,Lượng từ,"Chiếc, kiện, …",你帮我几件事可以吗？,Nǐ bāng wǒ jǐ jiàn shì kěyǐ ma?,Bạn giúp tôi vài việc được không?
教室,jiàoshì,Danh từ,Phòng học,清晨，教室里传出朗读的读书声。,"Qīngchén, jiàoshì lǐ chuán chū lǎngdú de dúshū shēng.","Sáng sớm, phòng học vang lên tiếng học sinh đọc bài."
姐姐,jiějie,Danh từ,Chị gái,姐姐能否考上大学。,Jiějiě néng fǒu kǎo shàng dàxué.,Chị gái có thể thi đỗ đại học không.
,,Đại  từ,,,,
介绍,jièshào,Động từ,Giới thiệu,请你自我介绍。,Qǐng nǐ zìwǒ jièshào.,Mời bạn tự giới thiệu bản thân.
进,jìn,Động từ,Tiến (vào),不进则退,bújìnzétuì,Không tiến thì phải lùi
,,,,,,
近,jìn,Động từ,Gần,远近闻名,yuǎnjìn wénmíng,Tiếng thơm vang xa
,,Trạng từ,,,,
就,jiù,Động từ,"Đến, bắt đầu",我早就说那不是你的主意。,Wǒ zǎo jiù shuō nà búshì nǐ de zhǔyì.,Tôi đã sớm bảo đó không phải ý của cậu mà.
,,Trạng từ,"Hoàn thành, thành tựu.",,,
,,Giới từ,,,,
觉得,juédé,Động từ,"Cảm thấy, cho rằng",穿上妈妈做的衣服，觉得挺舒服的。,"Chuān shàng māmā zuò de yīfú, juédé tǐng shūfú de.",Mặc đồ mà mẹ làm cho cảm thấy thật thoải mái.
咖啡,kāfēi,Danh từ,Cà phê,他们一边喝咖啡一边聊天。,Tāmen yìbiān hē kāfēi yìbiān liáotiān.,Anh ta vừa uống cà phê 1 vừa chuyện.
开始,kāishǐ,Động từ,Bắt đầu,此事既然已经开始，只好一不做，二不休。,"Cǐ shì jìrán yǐjīng kāishǐ, zhǐhǎo yī bú zuò, èr bùxiū.","Chuyện này cũng đã xảy ra như vậy rồi, chỉ đành chăm chỉ làm thôi."
考试,kǎoshì,Danh từ,Kì thi,这次考试分笔试和口试两部分。,Zhè cì kǎoshì fēn bǐshì hé kǒushì liǎng bùfen.,Kì thi lần này chia làm hai phần gồm thi nói và thi viết.
,,,Kiểm tra,,,
可能,kěnéng,Danh từ,Có khả năng,老师的脸色很难看，可能又跟谁生气了。,"Lǎoshī de liǎnsè hěn nánkàn, kěnéng yòu gēn shéi shēngqìle.","Sắc mặt của thầy rất khó coi, khả năng là lại cãi nhau với ai rồi."
,,Động từ,"Có lẽ, chắc là",,,
可以,kěyǐ,Động từ,Có thể,公司可以为客户提供多种服务。,Gōngsī kěyǐ wèi kèhù tígōng duō zhǒng fúwù.,Công ty có thể cung cấp rất nhiều dịch vụ cho khách hàng.
课,kè,Danh từ,Môn học,日程月课,rìchéng yuèkè,Lịch trình cụ thể
,,,Giờ học; tiết học,,,
快,kuài,Tính từ,Nhanh,快言快语,kuài yánkuàiyǔ,Lời nói rõ ràng
快乐,kuàilè,Tính từ,Vui vẻ,学习难苦的，但是也充满了快乐。,"Xuéxí nán kǔ de, dànshì yě chōngmǎnle kuàilè.","Học hành gian khổ, nhưng lại đầy ắp niềm vui."
累,lèi,Động từ,Mệt,长年累月,chángniánlěiyuè,Quanh năm suốt tháng
,,Tính từ,,,,
离,lí,Tính từ,Ly (biệt),流离失所,liúlíshīsuǒ,Trôi dạt khắp nơi
,,Giới từ,(cách) ly,隔离,gélí,Cách ly
两,liǎng,Số từ,Số 2,一举两得,yìjǔliǎngdé,1 mũi tên trúng 2 đích
路,lù,Danh từ,Đường,一路平安,yílù píng’ān,Thuận lộ bình an
旅游,lǚyóu,Động từ,Du lịch,春节前夕，我们家全部到香港旅游。,"Chūnjié qiánxī, wǒmen jiā quánbù dào Xiānggǎng lǚyóu.","Trước giao thừa, cả gia đình chúng tôi đều đi du lịch HongKong."
卖,mài,Động từ,Bán,挂头羊卖狗肉。,Guà tóuyáng mài gǒuròu.,Treo đầu dê bán thịt chó.
慢,màn,Tính từ,Chậm,不紧不慢,bùjǐnbú màn,Không nhanh không chậm
,,,,,,
忙,máng,Động từ,Bận,忙里偷闲,mánglǐtōuxián,Tranh thủ thời gian
,,Tính từ,,,,
每,měi,Đại từ,Mỗi,每饭不忘,měifàn búwàng,Luôn luôn ghi nhớ
妹妹,mèimei,Đại từ,Em gái,妹妹去国外留学三年了。,Mèimei qù guówài liúxué sān niánle.,Em gái đi du học đã 3 năm rồi.
,,Danh từ,,,,
门,mén,Danh từ,Cửa,五花八门,wǔhuābāmén,Đa dạng
男人,nánrén,Danh từ,Đàn ông,这世界上最爱我的男人是爸爸。,Zhè shìjiè shàng zuì ài wǒ de nánrén shì bàba.,Người đàn ông tôi yêu nhất trên đời này là bố.
您,nín,Đại từ,Ngài,您好!,Nín hǎo!,Xin chào!
牛奶,niúnǎi,Danh từ,Sữa,牛奶中蛋白质的含量很高。,Niúnǎi zhōng dànbáizhí de hánliàng hěn gāo.,Hàm lượng protein bên trong sữa rất cao.
女人,nǚrén,Danh từ,Phụ nữ,泛称成年女子。,Fànchēng chéngnián nǚzǐ.,Gọi chung là người phụ nữ trưởng thành.
旁边,pángbiān,Phương vị từ,Bên cạnh,学校的旁边是书店。,Xuéxiào de pángbiān shì shūdiàn.,Bên cạnh trường học là hiệu sách.
跑步,pǎobù,Động từ,Chạy bộ,我每天早上都跟老公一起跑步。,Wǒ měitiān zǎoshang dōu gēn lǎogōng yìqǐ pǎobù.,Tôi mỗi ngày đều cùng chồng  đi bộ.
便宜,piányi,Tính từ,Rẻ,买东西千万不要图便宜。,Mǎi dōngxī qiān wàn bùyào tú piányí.,Mua đồ đừng bao giờ nhìn giá rẻ.
票,piào,Danh từ,Vé,很快就到春节了。你买火车票了没？,Hěn kuài jiù dào chūnjiéle. Nǐ mǎi huǒchē piàole méi?,Sắp tới kì nghỉ tết rồi. Bạn mua vé tàu chưa?
妻子,qīzi,Danh từ,Vợ,他钱包丢了，他妻子安慰他不要难过。,"Tā qiánbāo diūle, tā qīzi ānwèi tā búyào nánguò.","Ví tiền của anh ta mất rồi, vợ anh ấy an ủi rằng đừng buồn."
起床,qǐchuáng,Động từ,Dậy,爷爷通常五点钟起床。,Yéye tōngcháng wǔ diǎn zhōng qǐchuáng.,Ông nội thường dậy lúc 5 giờ.
千,qiān,Số từ,Ngàn,千方百计,qiānfāngbǎijì.,trăm phương nghìn kế.
晴,qíng,Tính từ,Trời trong,雨过晴天。,Yǔguò qíngtiān.,Qua cơn mưa trời lại sáng.
去年,qùnián,Từ chỉ thời gian,Năm trước,妹妹去年去留学了。,Mèimei qùnián qù liúxuéle.,Em gái năm trước đi du học rồi.
,,,Năm ngoái,,,
让,ràng,Động từ,Khiến,行者让路。,Xíngzhě rànglù.,Người đi đường nhường đường.
,,,Nhường,我可以让步一下。,Wǒ kěyǐ ràngbù yíxià.,Tôi có thể nhượng bộ 1 chút.
上班,shàngbān,Động từ,Đi làm,她每天早上八点上班。,Tā měitiān zǎoshang bā diǎn shàngbān.,Cô ấy mỗi ngày 8 giờ dậy đi làm.
